date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:11	176384/176384	---M--	200	added ('OK')	application/font-woff2	etag:%220b9342bad1d3118c886dcb7d29c5105b86c3c2a7%22	https://use.typekit.net/af/e8c22b/00000000000000007735a3a4/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/e8c22b/00000000000000007735a3a4/30/l64f0	(from https://use.typekit.net/njp4uhl.css)
15:39:14	187004/187004	---M--	200	added ('OK')	application/font-woff2	etag:%221e31ebb51b7c487aeafc37ef9b6e5fada960daf8%22	https://use.typekit.net/af/396947/00000000000000007735a3a7/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/396947/00000000000000007735a3a7/30/l34b8	(from https://use.typekit.net/njp4uhl.css)
15:39:14	503664/503664	---M-Z	200	added ('OK')	font/opentype	etag:W/%220b9342bad1d3118c886dcb7d29c5105b86c3c2a7%22	https://use.typekit.net/af/e8c22b/00000000000000007735a3a4/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/e8c22b/00000000000000007735a3a4/30/a64f0	(from https://use.typekit.net/njp4uhl.css)
15:39:14	209624/209624	---M--	200	added ('OK')	application/font-woff	etag:%220b9342bad1d3118c886dcb7d29c5105b86c3c2a7%22	https://use.typekit.net/af/e8c22b/00000000000000007735a3a4/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/e8c22b/00000000000000007735a3a4/30/d64f0	(from https://use.typekit.net/njp4uhl.css)
15:39:14	221316/221316	---M--	200	added ('OK')	application/font-woff	etag:%221e31ebb51b7c487aeafc37ef9b6e5fada960daf8%22	https://use.typekit.net/af/396947/00000000000000007735a3a7/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/396947/00000000000000007735a3a7/30/d34b8	(from https://use.typekit.net/njp4uhl.css)
15:39:15	520520/520520	---M-Z	200	added ('OK')	font/opentype	etag:W/%221e31ebb51b7c487aeafc37ef9b6e5fada960daf8%22	https://use.typekit.net/af/396947/00000000000000007735a3a7/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/396947/00000000000000007735a3a7/30/a34b8	(from https://use.typekit.net/njp4uhl.css)
15:39:16	510036/510036	---M-Z	200	added ('OK')	font/opentype	etag:W/%22f0b06906a72684d2c4f437c08e4289b1b4419698%22	https://use.typekit.net/af/3f4c3a/00000000000000007735a3a9/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n5&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/3f4c3a/00000000000000007735a3a9/30/aa2f9	(from https://use.typekit.net/njp4uhl.css)
15:39:16	185840/185840	---M--	200	added ('OK')	application/font-woff2	etag:%22f0b06906a72684d2c4f437c08e4289b1b4419698%22	https://use.typekit.net/af/3f4c3a/00000000000000007735a3a9/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n5&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/3f4c3a/00000000000000007735a3a9/30/la2f9	(from https://use.typekit.net/njp4uhl.css)
15:39:18	232380/232380	---M--	200	added ('OK')	application/font-woff	etag:%22361e3cdb404f61f434231fc1f7c77759897bc540%22	https://use.typekit.net/af/e45fab/00000000000000007735a3ab/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i5&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/e45fab/00000000000000007735a3ab/30/d0dca	(from https://use.typekit.net/njp4uhl.css)
15:39:18	196100/196100	---M--	200	added ('OK')	application/font-woff2	etag:%22361e3cdb404f61f434231fc1f7c77759897bc540%22	https://use.typekit.net/af/e45fab/00000000000000007735a3ab/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i5&v=3	G:/discord%20bot/site/top%20song/top%20song/use.typekit.net/af/e45fab/00000000000000007735a3ab/30/l0dca	(from https://use.typekit.net/njp4uhl.css)
